yrbp,co2
19,370.93
19,370.73
19,372.43
19,373.98
18,375.07
18,375.82
18,376.64
18,377.92
18,378.78
18,378.46
18,376.88
18,374.57
18,373.34
18,373.31
18,374.84
18,376.17
17,377.17
17,378.05
17,379.06
17,380.54
17,380.8
17,379.87
17,377.65
17,376.17
17,374.43
17,374.63
17,376.33
17,377.68
16,378.63
16,379.91
16,380.95
16,382.48
16,382.64
16,382.4
16,380.93
16,378.93
16,376.89
16,377.19
16,378.54
16,380.31
15,381.58
15,382.4
15,382.86
15,384.8
15,385.22
15,384.24
15,382.65
15,380.6
15,379.04
15,379.33
15,380.35
15,382.02
14,383.1
14,384.12
14,384.81
14,386.73
14,386.78
14,386.33
14,384.73
14,382.24
14,381.2
14,381.37
14,382.7
14,384.19
13,385.78
13,386.06
13,386.28
13,387.33
13,388.78
13,387.99
13,386.61
13,384.32
13,383.41
13,383.21
13,384.41
13,385.79
12,387.17
12,387.7
12,389.04
12,389.76
12,390.36
12,389.7
12,388.25
12,386.29
12,384.95
12,384.64
12,386.23
12,387.63
11,388.91
11,390.41
11,391.37
11,392.67
11,393.21
11,392.38
11,390.41
11,388.54
11,387.03
11,387.43
11,388.87
11,389.99
10,391.5
10,392.05
10,392.8
10,393.44
10,394.41
10,393.95
10,392.72
10,389.28
10,389.19
10,390.48
10,392.06
9,393.31
9,394.04
9,394.59
9,396.38
9,396.93
9,395.91
9,394.56
9,392.59
9,391.32
9,391.27
9,393.2
9,394.57
8,395.78
8,397.03
8,397.66
8,398.64
8,400.02
8,398.81
8,397.51
8,395.39
8,393.72
8,393.9
8,395.36
8,397.03
7,398.04
7,398.27
7,399.91
7,401.51
7,401.96
7,401.43
7,399.38
7,397.32
7,395.64
7,396.29
7,397.55
7,399.15
6,400.18
6,400.55
6,401.74
6,403.35
6,404.15
6,402.97
6,401.46
6,399.11
6,397.82
6,398.49
6,400.27
6,402.06
5,402.73
5,404.25
5,405.06
5,407.6
5,407.9
5,406.99
5,404.59
5,402.45
5,401.23
5,401.79
5,403.72
5,404.64
4,406.36
4,406.66
4,407.53
4,409.22
4,409.89
4,409.08
4,407.33
4,405.32
4,403.57
4,403.82
4,405.31
4,407
3,408.15
3,408.52
3,409.59
3,410.45
3,411.44
3,410.99
3,408.9
3,407.16
3,405.71
3,406.19
3,408.21
3,409.27
2,411.03
2,411.96
2,412.18
2,413.54
2,414.86
2,414.16
2,411.97
2,410.18
2,408.76
2,408.75
2,410.48
2,411.98
1,413.61
1,414.34
1,414.74
1,416.45
1,417.31
1,416.6
1,414.62
1,412.78
1,411.52
1,411.51
1,413.12
1,414.26
0,415.52
0,416.75
0,417.64
0,419.05
0,419.13
0,418.94
0,416.96
0,414.47
160,280.4
291,274.9
302,277.9
418,279.1
427,281.9
508,277.7
582,281.1
695,282.2
777,280.1
900,278.4
973,276.6
1083,279.1
1176,277.7
1256,278.7
1373,277.4
1476,279.2
1575,280
1661,278.9
1756,278.7
1835,278
1954,276.9
2080,276.7
2151,276.7
2235,277.6
2357,277.9
2456,273.9
2559,278.9
2627,275.3
2751,274.7
2829,276.3
2925,274.6
3076,276.3
3139,273.1
3238,274
3359,275
3476,273.4
3546,273
3645,271.5
3744,275.4
3813,274.9
3933,271.7
4027,271.6
4119,272.8
4184,271.5
4347,271.1
4397,269.1
4503,269.8
4596,271.5
4726,270.7
4789,269.3
4897,268.6
5027,269.8
5117,267.6
5183,265.3
5297,265.2
5393,267.6
5499,265.9
5585,265.5
5680,260.7
5739,266.7
5878,265.5
6021,263.2
6062,262.7
6154,261.2
6286,261.1
6377,259.4
6457,262.1
6568,262.9
6640,258.1
6736,257.6
6861,262.3
6964,263
7051,260.7
7135,258.4
7257,260.1
7343,260.4
7436,259.7
7530,259.2
7613,260.8
7714,259.6
7804,259.3
7899,258.3
8013,261.3
8073,260.7
8204,261.8
8304,259
8410,260.9
8500,260.4
8602,259.3
8676,262
8807,263.7
8892,263.8
8996,265.2
9115,260.6
9163,260.9
9255,263
9340,263.8
9559,264.4
9620,264.2
9744,264
9830,263.4
9932,265.7
10006,264.9
10111,267.5
10232,266.9
10317,266
10440,265.1
10550,267.6
10644,264.8
10767,264.8
10828,265
10850,265.3
10918,264.4
10956,264.1
11037,264.2
11110,264.5
11159,264
11224,263
11259,265.2
11301,258.8
11361,260.8
11415,255.4
11459,253.9
11492,253.8
11603,250.7
11658,249.7
11699,251.1
11750,250.7
11842,245.3
11919,245.3
11981,246.6
12073,243.2
12145,240.3
12394,237.5
12519,237.6
12665,234.2
12783,238.3
12965,237.3
13113,237.9
13264,237.6
13463,236.4
13565,239.2
13676,238.6
13827,238.6
13971,239.1
14326,228.5
14573,228.4
14748,226.1
14913,225.2
15035,224.5
15256,222
15461,221
15593,220.9
15765,219.4
15909,214
16096,207.5
16283,207.7
16475,202.9
16682,200.8
16893,195.2
17134,193.9
17398,191
17588,188.5
17832,188.5
17966,189.2
18308,187
18564,188.6
18851,189.4
18891,192.3
18944,188.3
19370,188.7
19532,188.8
19771,190
20011,188
20191,188.2
20220,195
20525,187.8
20771,186.9
21034,186.5
21280,184.7
21530,186.1
21877,185.7
22038,184.4
22850,189.2
26017,191.6
29086,188.5
30043,191.7
35032,205.3
37494,209.1
43523,209.1
47359,189.3
48877,188.4
49713,210.1
50686,215.7
52405,190.4
57111,221.7
57680,210.4
62882,195.3
64962,191.4
65962,194.9
71072,227.3
73250,229.1
77173,217.1
78206,221.7
80637,230.9
82440,241.1
83356,236.4
84039,228
85043,214.2
86204,217
87940,208
90380,224.2
91272,228.3
94376,232
99872,225.8
100860,230.8
101772,236.9
103488,228.1
104727,236.9
105659,230.6
107602,238.2
108176,245.6
109827,251.2
111885,256.7
113285,266.3
114119,261.4
114624,274.5
115141,273.2
116524,262.5
117773,267.6
118672,273.7
119695,271.9
120405,265.2
121040,277.6
122367,272.1
123093,276.4
124236,268.7
124280,266.6
124812,266.3
125104,279.7
125285,273
125457,277.1
126370,273.7
126621,267.1
126909,262.5
127155,262.6
127645,275.3
127930,275.6
128367,274
128395,287.1
128632,286.8
128889,282.6
129169,264.1
129363,263.4
129675,257.9
129759,259
131352,245
131478,240.4
131751,228.9
132515,223.5
133092,223.9
133128,220.3
133450,210.6
134146,208.9
134310,203.7
134983,204.5
135137,200.4
135230,198
135626,198
135906,201.7
136034,200.7
136274,202.4
136590,195.8
136678,201.1
137316,194.3
137656,193.4
138005,194.2
138208,190.2
139298,192.3
139640,196.5
140922,195.6
140983,196.4
142081,190.4
145386,196.9
148854,203
149826,191.9
149944,188.9
151446,200.6
154503,189
155418,185.5
155836,187.5
159585,204.3
159966,196.5
161702,191.6
162251,190.1
163047,186.7
163721,183.8
164462,196.6
167206,197.8
169515,197.7
171374,196
172457,190.3
173158,189.4
173417,190.1
175329,207.7
177162,213.2
178202,217.7
179140,198.1
180091,199.7
182069,203.4
184708,210.7
186720,231.3
188459,231.4
189099,220.3
190375,218
192933,226.5
193504,220
195040,226.4
195696,241.2
196202,242.6
198995,250.9
199941,239.1
201186,247.6
202436,244.4
202897,231.9
203340,232.2
203860,228.6
204503,226.3
204931,229.4
205385,231.4
205975,238.1
206167,237.2
206833,230
207143,240.5
207567,242.2
208087,244.6
208277,243.9
208826,247.2
209018,252
209455,246.9
209840,239.5
210177,257.4
210836,243.4
211881,251.2
212739,241.4
213293,240.3
213559,242.6
214007,247.5
214482,251.7
214817,251.1
215405,245.3
216375,240.5
218384,214.1
219139,216.1
220081,207.1
220762,208.8
222053,205.6
224292,203.3
224946,215.7
225932,235.5
226734,234.5
227050,233.1
227799,224.5
229446,232.4
230445,233.9
231089,241.6
234840,245.2
235503,252.1
236137,241.4
236757,247.4
237317,243.1
237891,239.1
238581,245.6
239036,245.8
239500,247.4
239996,252.8
240968,259.7
241389,263.2
242030,279
242369,280.2
243094,263.7
243452,252.3
243879,249.9
244370,236.7
244887,230.4
245464,219.4
247704,214.7
250156,200.2
251028,213.9
251887,195.4
252762,196.7
253659,195.4
255521,199
256332,201.9
257123,204
258684,203.9
260376,209.6
260939,205.7
262115,208.9
262953,214.6
264532,228.1
265676,199.9
266349,211.7
267465,188.7
268204,187.2
269177,194.2
270245,198.8
271279,184.7
272334,190.4
273333,193.9
274344,194.1
275373,198.4
276349,193.2
277384,202.2
278373,204.5
279343,211
280292,215.3
281781,223.7
283808,231.3
285403,228
286151,226.4
287059,231.4
287561,230.4
288256,231
290176,234.9
290753,220.4
291390,217.1
292428,207.6
293080,206
293802,206.7
294591,212.7
295953,213.1
297944,217.1
298764,224.4
299644,231
300495,236.1
301425,239
302303,236
303249,240.2
304255,240.7
304924,250.2
305678,248.6
306570,244.8
307518,225.8
308767,227.8
309412,226.2
310191,233.2
311036,237.8
311891,239
312699,241.9
313437,251.6
314167,256.7
314890,257.1
315595,246.8
316223,272.6
316920,251.6
317757,245.2
318582,233.4
319503,255.8
320381,249.2
322038,257.2
322790,260.4
323549,260.3
324303,260.5
324994,266.2
325743,264
326344,266.1
326995,270.1
327613,271.9
328244,275.1
329498,265
330231,271.7
330763,272.6
331461,273.1
331967,282.4
332308,289.1
332485,288.4
332942,298.6
333403,278.1
333913,285.8
334284,278.6
334771,270.5
335310,255.7
335941,241.9
336748,239.6
337414,234.2
339321,250.1
340479,200.7
341825,205.2
343305,204.8
344469,211.9
346003,220.3
348321,221.1
349711,216.2
350948,209.4
352298,209.2
355325,193
356921,186.1
358735,185.8
360980,201.2
363408,206.3
366258,201.9
367879,199.9
369469,214.7
371113,224.6
372669,229.6
376591,227
378119,240
379719,239.1
381155,246.8
382693,245.8
384557,258.1
385421,264.6
386167,259.2
388085,255.2
389969,250.1
391919,266.3
392567,259.5
393602,273.6
394583,260.7
398109,276.3
399745,277.1
400527,283.2
402023,283.1
402754,275.7
404204,276.5
404950,280.5
406391,279.6
407116,285.6
408623,284.5
409406,275.2
409406,274.2
410229,282.6
411094,283.5
412985,274.9
413971,264.9
414986,271.6
415740,276.4
416216,271.7
417214,273.4
417721,271.8
418268,274.6
419283,273.7
419831,271.2
420373,273.8
421507,268.6
422097,266.4
422672,270.6
423787,267.7
424355,268.3
424863,270.8
425265,270
425592,265.4
425998,255.3
426621,252.1
427308,248.2
427589,242.5
429029,219.7
429899,227.2
431086,211.5
431468,207.6
432622,209.8
433697,207.5
434827,200.3
436012,201.7
437175,201.3
438379,202
439588,199.1
441243,201.1
442434,203.5
443585,208.1
444673,201.7
445852,201.2
447007,204.9
448126,201.9
449267,198.4
450478,193.3
451616,192.5
452306,199.1
452818,204.3
453537,203.3
454046,208.3
455302,202.4
456614,195.5
458072,190.7
459453,194.4
460815,199.9
461710,205.2
462156,210
463479,208.1
464889,204.4
466288,203.4
467625,205.5
468346,206.5
468833,215.5
469493,218.7
469964,229.2
470620,232.7
471069,243.7
471786,243.9
472118,245.6
473125,241.2
474185,233.1
475241,232.8
476263,236.6
477185,239.1
477742,236.5
478147,231.3
478744,220.8
479167,218.8
480131,223.8
481058,223.4
481955,227.3
482826,231.4
483672,231.4
484488,231.2
485299,233
486066,232.9
486839,231.3
487564,237.1
488291,242
488712,240.9
489019,252.8
489498,249.3
489745,242.6
490468,243.3
491214,246.7
491982,243.7
492761,239.7
493530,239.1
494334,238.3
495108,238.5
495876,237.6
496631,236.4
497389,236.5
498127,232.8
498888,230.6
499633,230.8
500386,228.2
501153,230.8
501889,231.2
502648,232
503398,232.2
504106,234.1
504800,233.9
505539,235.5
506310,236
507034,238.2
507737,237
508499,240.3
509270,233.4
510031,236.4
510788,235.2
511538,242
512292,238.2
513020,239.2
513747,241.5
514452,243
515136,247.2
515794,246.2
516440,245.5
517092,245.3
517729,247.7
518357,245.5
518988,243.5
520915,241.9
521575,236.8
522239,235.8
522946,233.7
